"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"R3","R3_guessObjectWithInstanceOfInterface","CATG","","N/A","","run-05-30sec",""
"R3","R3_instantiateObject","CATG","","N/A","","run-05-30sec",""
"R3","R3_useObjectWithDirectCall","CATG","","N/A","","run-05-30sec",""
"R3","R3_useObjectWithInvoke","CATG","","N/A","","run-05-30sec",""
"Env1","Env1_writesEofToStdin","CATG","","T/M","","run-06-30sec","30204"
"Env1","Env1_writesErrorOutputBack","CATG","","T/M","","run-06-30sec","30202"
"Env1","Env1_writesOneLineToStdin","CATG","","T/M","","run-06-30sec","30203"
"Env1","Env1_writesOutputBack","CATG","","T/M","","run-06-30sec","30203"
"Env2","Env2_createDir","CATG","85.71","NC","1","run-06-30sec","512"
"Env2","Env2_createDirWithContent","CATG","54.55","NC","1","run-06-30sec","532"
"Env2","Env2_createFile","CATG","85.71","NC","1","run-06-30sec","516"
"Env2","Env2_createFileWithContent","CATG","66.67","NC","1","run-06-30sec","513"
"Env2","Env2_guessDirname","CATG","81.82","NC","1","run-06-30sec","541"
"Env2","Env2_guessFilename","CATG","81.82","NC","1","run-06-30sec","520"
"Env2","Env2_guessFilenameAndContent","CATG","71.43","NC","1","run-06-30sec","546"
"Env3","Env3_deadlock","CATG","","EX","","run-06-30sec","445"
"Env3","Env3_guessBothCases","CATG","","N/A","","run-06-30sec",""
"Env3","Env3_guessHost","CATG","","EX","","run-06-30sec","487"
"Env3","Env3_guessHostAndPort","CATG","","EX","","run-06-30sec","506"
"Env3","Env3_guessNegativeAnswer","CATG","","EX","","run-06-30sec","487"
"Env3","Env3_guessPort","CATG","","EX","","run-06-30sec","500"
"Env3","Env3_guessPositiveAnswer","CATG","","EX","","run-06-30sec","487"
"Env4","Env4_manipulatesClock","CATG","","EX","","run-06-30sec","462"
"Env4","Env4_manipulatesRandom","CATG","75.00","NC","1","run-06-30sec","472"
"Env4","Env4_setsEnv","CATG","66.67","NC","1","run-06-30sec","482"
"Env4","Env4_setsProperty","CATG","66.67","NC","1","run-06-30sec","471"
"T1","T1_canInterruptSleep","CATG","","T/M","","run-06-30sec","30202"
"T1","T1_canNameThread","CATG","75.00","NC","1","run-06-30sec","477"
"T1","T1_canStartEnoughThreads","CATG","","T/M","","run-06-30sec","30203"
"T2","T2_createsLock","CATG","","N/A","","run-06-30sec",""
"T2","T2_signalAwait","CATG","90.91","NC","1","run-06-30sec","621"
"T3","T3_deadlock","CATG","","T/M","","run-06-30sec","30202"
"T3","T3_livelock","CATG","","T/M","","run-06-30sec","30202"
"T3","T3_raceCondition","CATG","92.31","NC","1","run-06-30sec","701"
"T3","T3_starvation","CATG","","T/M","","run-06-30sec","30202"
"R1a","R1a_guessClassByAnnotation","CATG","","N/A","","run-06-30sec",""
"R1a","R1a_guessClassByField","CATG","","N/A","","run-06-30sec",""
"R1a","R1a_guessClassByInterface","CATG","","N/A","","run-06-30sec",""
"R1a","R1a_guessClassByMethodWithParams","CATG","","N/A","","run-06-30sec",""
"R1a","R1a_guessClassByMethodWithoutParams","CATG","","N/A","","run-06-30sec",""
"R1a","R1a_guessClassByName","CATG","","N/A","","run-06-30sec",""
"R1a","R1a_guessClassBySimpleName","CATG","","N/A","","run-06-30sec",""
"R1a","R1a_guessClassBySuperclass","CATG","","N/A","","run-06-30sec",""
"R1b","R1b_guessClassByAnnotation","CATG","33.33","NC","1","run-06-30sec","515"
"R1b","R1b_guessClassByField","CATG","42.86","NC","1","run-06-30sec","495"
"R1b","R1b_guessClassByInterface","CATG","42.86","NC","1","run-06-30sec","487"
