"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"B2d","B2d_quadraticFloatNoSolution","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_quadraticInt","CATG","80.00","NC","1","run-03-15sec","583"
"B2d","B2d_quadraticIntNoSolution","CATG","80.00","C","2","run-03-15sec","1162"
"B2d","B2d_threeParamsDouble","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_threeParamsFloat","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_threeParamsInt","CATG","100.00","C","4","run-03-15sec","2289"
"B2d","B2d_threeParamsIntNoSolution","CATG","83.33","C","3","run-03-15sec","1774"
"B2d","B2d_twoParamsDouble","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_twoParamsFloat","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_twoParamsInt","CATG","100.00","C","3","run-03-15sec","1650"
"B2d","B2d_twoParamsIntNoSolution","CATG","80.00","C","2","run-03-15sec","1073"
"B3a","B3a_complex","CATG","","T/M","","run-03-15sec","15203"
"B3a","B3a_infinite","CATG","","T/M","","run-03-15sec","15202"
"B3a","B3a_infiniteNotOptimalizable","CATG","","T/M","","run-03-15sec","15202"
"B3a","B3a_nestedLoop","CATG","","T/M","","run-03-15sec","15202"
"B3a","B3a_nestedLoopWithLabel","CATG","","T/M","","run-03-15sec","15202"
"B3a","B3a_withConditionAndLimit","CATG","100.00","C","12","run-03-15sec","6823"
"B3a","B3a_withConditionNoLimit","CATG","","T/M","","run-03-15sec","15202"
"B3a","B3a_withContinueBreak","CATG","","T/M","","run-03-15sec","15203"
"B3a","B3a_withLimit","CATG","100.00","C","12","run-03-15sec","6747"
"O1","O1_fullCoverage","CATG","","N/A","","run-03-15sec",""
"O1","O1_guessImpossibleObject","CATG","","N/A","","run-03-15sec",""
"O1","O1_guessImpossibleOperationCount","CATG","","N/A","","run-03-15sec",""
"O1","O1_guessImpossibleOperationCountParams","CATG","","T/M","","run-03-15sec","15203"
"O1","O1_guessImpossibleResult","CATG","","N/A","","run-03-15sec",""
